channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,Other math channels you'd enjoy,,,8.2,https://www.youtube.com/watch?v=VcgJro0sTiM,241000,VcgJro0sTiM
3Blue1Brown,"Divergence and curl:  The language of Maxwell's equations, fluid flow, and more",,algebra & equations; networks & the web; simulation,15.7,https://www.youtube.com/watch?v=rB83DpBJQsE,5200000,rB83DpBJQsE
3Blue1Brown,"The other way to visualize derivatives | Chapter 12, Essence of calculus",yes,calculus,14.4,https://www.youtube.com/watch?v=CfW845LNObM,3800000,CfW845LNObM
3Blue1Brown,"The Wallis product for pi, proved geometrically",,geometry; trigonometry & waves,25.4,https://www.youtube.com/watch?v=8GPy_UMV-08,910000,8GPy_UMV-08
3Blue1Brown,Winding numbers and domain coloring,,colour & images; numbers,23.2,https://www.youtube.com/watch?v=b7FxPsqfkOY,972000,b7FxPsqfkOY
3Blue1Brown,How pi was almost 6.283185...,,trigonometry & waves,5.9,https://www.youtube.com/watch?v=bcPTiiiYDs8,1700000,bcPTiiiYDs8
3Blue1Brown,Why is pi here?  And why is it squared?  A geometric answer to the Basel problem,,geometry; trigonometry & waves,17.1,https://www.youtube.com/watch?v=d-o3eB9sfls,7300000,d-o3eB9sfls
3Blue1Brown,"The more general uncertainty principle, regarding Fourier transforms",,trigonometry & waves,18.1,https://www.youtube.com/watch?v=MBnnXbOM5S4,2300000,MBnnXbOM5S4
3Blue1Brown,But what is the Fourier Transform?  A visual introduction.,yes,trigonometry & waves,19.7,https://www.youtube.com/watch?v=spUNpyF58BY,12000000,spUNpyF58BY
3Blue1Brown,Why this puzzle is impossible,yes,games & puzzles,19.6,https://www.youtube.com/watch?v=VvCytJvd4H0,3200000,VvCytJvd4H0
3Blue1Brown,Q&A #2 + Net Neutrality Nuance,,,4.1,https://www.youtube.com/watch?v=liL66CApESk,149000,liL66CApESk
3Blue1Brown,The hardest problem on the hardest test,,,11.2,https://www.youtube.com/watch?v=OkmNXy7er84,16000000,OkmNXy7er84
3Blue1Brown,Backpropagation calculus | Deep Learning Chapter 4,yes,AI & machine learning; calculus,10.3,https://www.youtube.com/watch?v=tIeHLnjs5U8,3900000,tIeHLnjs5U8
3Blue1Brown,"Backpropagation, intuitively | Deep Learning Chapter 3",yes,AI & machine learning,12.8,https://www.youtube.com/watch?v=Ilg3gGewQ5U,6200000,Ilg3gGewQ5U
3Blue1Brown,"Gradient descent, how neural networks learn | Deep Learning Chapter 2",yes,AI & machine learning; calculus; networks & the web,20.6,https://www.youtube.com/watch?v=IHZwWFHWa-w,9500000,IHZwWFHWa-w
3Blue1Brown,But what is a neural network? | Deep learning chapter 1,yes,AI & machine learning; networks & the web,18.7,https://www.youtube.com/watch?v=aircAruvnKk,24000000,aircAruvnKk
3Blue1Brown,Some light quantum mechanics (with minutephysics),,,22.4,https://www.youtube.com/watch?v=MzRCDLre1b4,,MzRCDLre1b4
3Blue1Brown,Thinking outside the 10-dimensional box,,geometry,25.2,https://www.youtube.com/watch?v=zwAD6dRSVyI,3100000,zwAD6dRSVyI
3Blue1Brown,Hilbert's Curve: Is infinite math useful?,yes,numbers,18.3,https://www.youtube.com/watch?v=3s7h2MHQtxc,2400000,3s7h2MHQtxc
3Blue1Brown,How secure is 256 bit security?,yes,binary & number representation; cryptography,5.1,https://www.youtube.com/watch?v=S9JGmA5_unY,3600000,S9JGmA5_unY
3Blue1Brown,But how does bitcoin actually work?,yes,cryptography,25.3,https://www.youtube.com/watch?v=bBC-nXj3Ng4,18000000,bBC-nXj3Ng4
3Blue1Brown,"All possible pythagorean triples, visualized",yes,geometry,14.9,https://www.youtube.com/watch?v=QJYmyhnaaek,4000000,QJYmyhnaaek
3Blue1Brown,Pi hiding in prime regularities,,numbers; trigonometry & waves,29.7,https://www.youtube.com/watch?v=NaL_Cb42WyY,2800000,NaL_Cb42WyY
3Blue1Brown,"Taylor series | Chapter 11, Essence of calculus",yes,calculus,22.3,https://www.youtube.com/watch?v=3d6DsjIBzJ4,5100000,3d6DsjIBzJ4
3Blue1Brown,"Higher order derivatives | Chapter 10, Essence of calculus",,calculus,5.7,https://www.youtube.com/watch?v=BLkz5LGWihw,909000,BLkz5LGWihw
3Blue1Brown,"What does area have to do with slope? | Chapter 9, Essence of calculus",,calculus; geometry,12.7,https://www.youtube.com/watch?v=FnJqaIESC2s,1600000,FnJqaIESC2s
3Blue1Brown,"Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus",yes,calculus,20.8,https://www.youtube.com/watch?v=rfG8ce4nNh0,3100000,rfG8ce4nNh0
3Blue1Brown,"Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus",yes,calculus,18.4,https://www.youtube.com/watch?v=kfF40MiS7zA,2600000,kfF40MiS7zA
3Blue1Brown,"Implicit differentiation, what's going on here? | Chapter 6, Essence of calculus",yes,calculus,15.6,https://www.youtube.com/watch?v=qb40J4N1fa4,2300000,qb40J4N1fa4
3Blue1Brown,"What's so special about Euler's number e? | Chapter 5, Essence of calculus",yes,calculus; exponentials & logarithms; numbers,13.8,https://www.youtube.com/watch?v=m2MIpDrF7Es,5100000,m2MIpDrF7Es
3Blue1Brown,"Visualizing the chain rule and product rule | Chapter 4, Essence of calculus",yes,calculus,15.9,https://www.youtube.com/watch?v=YG15m2VwSjA,2300000,YG15m2VwSjA
3Blue1Brown,"Derivative formulas through geometry | Chapter 3, Essence of calculus",yes,algebra & equations; calculus; geometry,17.6,https://www.youtube.com/watch?v=S0_qX4VJhMQ,3500000,S0_qX4VJhMQ
3Blue1Brown,"The paradox of the derivative | Chapter 2, Essence of calculus",yes,calculus; logic,16.8,https://www.youtube.com/watch?v=9vKqVkMQHKk,4400000,9vKqVkMQHKk
3Blue1Brown,The essence of calculus,yes,calculus,17.1,https://www.youtube.com/watch?v=WUvTyaaNkzM,11000000,WUvTyaaNkzM
3Blue1Brown,Euler's formula with introductory group theory,,algebra & equations; complex numbers,24.5,https://www.youtube.com/watch?v=mvmuCPvRoWQ,2700000,mvmuCPvRoWQ
3Blue1Brown,Fractals are typically not self-similar,yes,recursion & fractals,21.6,https://www.youtube.com/watch?v=gB9n2gHsHN4,4500000,gB9n2gHsHN4
3Blue1Brown,Tattoos on Math,,,8.2,https://www.youtube.com/watch?v=IxNb1WG_Ido,764000,IxNb1WG_Ido
3Blue1Brown,But what is the Riemann zeta function? Visualizing analytic continuation,,numbers,22.2,https://www.youtube.com/watch?v=sD0NjbwqlYw,5300000,sD0NjbwqlYw
