name,discovered,method,orbit_days,radius_earths,distance_ly
Kepler-1382 b,2016,Transit,16.358,1.88,2407.9
TOI-2068 b,2024,Transit,7.7689,1.82,172.6
Kepler-1030 b,2016,Transit,19.33,2.48,2474.6
HD 153950 b,2008,Radial Velocity,499.4,13.2,158.0
CoRoT-11 b,2010,Transit,2.9943,16.03,2136.4
TOI-286 c,2024,Transit,39.362,1.88,193.2
TOI-1806.01,2024,Transit,15.145,3.41,181.1
TOI-4443.01,2024,Transit,1.8499,1.72,182.9
K2-136 b,2017,Transit,7.9752,1.01,193.2
HAT-P-52 b,2015,Transit,2.7536,11.31,1177.9
TOI-4747 b,2026,Transit,5.2192,3.96,993.5
Kepler-891 b,2016,Transit,53.449,6.41,7633.9
Kepler-1159 b,2016,Transit,22.708,2.37,3958.6
HATS-18 b,2016,Transit,0.83784,14.9,2036.4
GJ 676 A e,2012,Radial Velocity,35.474,2.47,52.3
Kepler-48 c,2012,Transit,9.6739,2.71,1000.4
Kepler-889 b,2016,Transit,3.7444,1.09,1951.4
HR 2562 b,2016,Imaging,,12.44,110.9
Kepler-1804 b,2021,Transit,12.288,1.6,1417.0
Kepler-1188 b,2016,Transit,17.137,2.08,5601.7
HD 21411 b,2019,Radial Velocity,84.288,9.52,95.0
Kepler-1281 b,2016,Transit,3.116,1.64,3555.1
Kepler-128 b,2013,Transit,15.0,1.42,1292.8
Kepler-1693 b,2020,Transit,12.1,1.29,2479.0
Kepler-104 b,2014,Transit,11.428,3.1,1307.2
Kepler-1849 b,2021,Transit,57.293,2.39,2060.9
Kepler-1036 b,2016,Transit,122.88,3.01,1596.3
Kepler-419 c,2014,Transit Timing Variations,675.47,12.6,3298.6
2MASS J22362452+4751425 b,2016,Imaging,,12.3,226.9
Kepler-1191 b,2016,Transit,5.6001,1.51,3116.5
Kepler-511 c,2021,Transit,26.629,4.21,2126.5
XO-5 b,2008,Transit,4.1878,12.78,900.9
Kepler-1825 b,2021,Transit,1.0259,1.42,1403.3
Kepler-1074 b,2016,Transit,5.9457,1.25,818.1
pi Men c,2018,Transit,6.2678,2.02,59.6
TIC 183374187 b,2026,Transit,5.0591,14.03,3942.4
GJ 1061 d,2020,Radial Velocity,13.066,1.16,12.0
Kepler-1987 d,2023,Transit,5.6449,2.66,1942.9
Kepler-245 b,2014,Transit,7.4902,2.57,2809.9
Kepler-131 c,2014,Transit,25.517,0.84,745.8
Kepler-144 c,2014,Transit,10.105,1.35,1255.4
HD 93385 c,2021,Radial Velocity,13.18,2.56,141.4
Kepler-431 c,2015,Transit,8.703,0.67,1586.9
HD 106270 b,2011,Radial Velocity,1888.0,12.4,306.0
TOI-5720 b,2024,Transit,1.4345,1.09,116.8
Kepler-203 d,2014,Transit,11.33,1.44,2293.9
Kepler-230 c,2014,Transit,91.773,2.04,2416.0
Kepler-1091 b,2016,Transit,1.4347,1.46,2982.0
Kepler-1129 b,2016,Transit,24.34,2.96,3861.3
Kepler-472 b,2016,Transit,4.1763,3.22,1000.0
Kepler-1275 b,2016,Transit,3.6569,1.48,3763.8
Kepler-1690 b,2020,Transit,234.64,2.81,2295.5
HD 75898 c,2024,Radial Velocity,6717.0,12.6,254.6
K2-386 b,2022,Transit,7.4732,2.32,1398.5
TOI-7510 c,2025,Transit,22.569,10.81,812.1
Kepler-718 b,2016,Transit,2.0523,16.56,4247.6
Kepler-1342 b,2016,Transit,2.2157,1.66,2905.1
WASP-174 b,2018,Transit,4.2337,16.11,1337.7
Kepler-1713 b,2021,Transit,18.012,1.72,963.1
Kepler-1121 b,2016,Transit,13.151,1.91,1572.2
Kepler-197 c,2014,Transit,10.35,1.23,1078.2
TOI-1294 b,2024,Transit,3.9153,10.12,1085.0
Kepler-1195 b,2016,Transit,8.4964,2.08,2996.0
GJ 328 b,2013,Radial Velocity,3771.0,13.3,66.9
EPIC 212737443 c,2019,Transit,65.55,2.69,1096.7
Kepler-1783 b,2021,Transit,8.2774,1.32,861.3
HD 50499 c,2019,Radial Velocity,8619.9,13.2,151.0
Kepler-874 b,2016,Transit,40.069,3.94,3529.5
Kepler-235 b,2014,Transit,3.3402,2.23,1396.0
HD 98219 b,2011,Radial Velocity,433.8,13.4,370.9
Kepler-625 b,2016,Transit,7.7519,1.99,2481.1
Kepler-1178 b,2016,Transit,31.806,1.07,1573.0
K2-407 b,2022,Transit,4.9419,1.28,712.2
KOI-351 b,2013,Transit,7.0082,1.31,2766.6
WASP-151 b,2017,Transit,4.5335,13.31,1477.8
K2-289 b,2019,Transit,13.157,9.1,894.6
GJ 1002 b,2022,Radial Velocity,10.347,1.03,15.8
Kepler-1143 c,2016,Transit,210.63,3.6,1810.8
TOI-2587 A b,2023,Transit,5.4566,12.07,1218.8
Kepler-1154 b,2016,Transit,5.1856,2.34,4762.2
Kepler-60 b,2012,Transit,7.1334,1.71,3343.4
Kepler-85 c,2012,Transit,12.51,1.98,2495.2
TOI-2081 b,2022,Transit,10.505,2.04,203.3
Kepler-1780 b,2021,Transit,109.44,3.61,2578.3
Kepler-1818 b,2021,Transit,4.6449,1.71,3374.4
TOI-871 b,2024,Transit,14.363,1.66,221.9
GJ 251 c,2025,Radial Velocity,53.647,1.8,18.2
Kepler-1518 c,2023,Transit,9.631,2.9,2946.9
Kepler-1718 b,2021,Transit,135.19,2.57,1224.8
TOI-4914 b,2024,Transit,10.601,12.87,978.1
USco1556 b,2019,Imaging,,12.3,458.7
Kepler-109 c,2014,Transit,21.223,2.65,1548.8
Kepler-101 c,2014,Transit,6.0298,1.25,3026.7
Kepler-1200 b,2016,Transit,1.1185,1.06,1920.1
NY Vir b,2011,Eclipse Timing Variations,3160.0,13.3,1774.4
TOI-4137 b,2022,Transit,3.8016,13.57,1092.6
Kepler-1630 b,2016,Transit,510.0,2.19,1080.3
Kepler-475 b,2016,Transit,3.1055,2.49,913.5
Kepler-1978 b,2023,Transit,10.85,2.67,2822.9
Kepler-1836 b,2021,Transit,5.2542,2.55,4803.0
Kepler-887 c,2016,Transit,7.6385,1.13,2891.7
Kepler-350 c,2013,Transit,17.849,3.1,3120.9
Kepler-816 b,2016,Transit,10.507,10.24,3208.4
HD 51608 b,2019,Radial Velocity,14.073,3.62,114.3
HD 125390 b,2019,Radial Velocity,1757.4,11.9,501.1
Kepler-1947 b,2021,Transit,6.9636,1.01,1528.9
Kepler-81 d,2014,Transit,20.838,1.21,1136.0
Kepler-1827 b,2021,Transit,3.7006,1.86,2238.9
TOI-1768.01,2024,Transit,7.3377,3.45,514.0
HIP 10090 c,2026,Radial Velocity,321.82,13.9,268.7
Kepler-855 b,2016,Transit,7.8866,8.35,4913.8
TOI-205 b,2026,Transit,4.253,2.5,579.8
Kepler-1886 b,2021,Transit,24.276,2.58,3455.7
Kepler-279 c,2013,Transit,35.736,4.3,3383.5
TOI-1839 b,2026,Transit,1.4238,2.27,378.6
TOI-1839 c,2026,Transit,4.0239,2.5,378.6
KMT-2023-BLG-1810L b,2026,Microlensing,,12.6,22830.9
KMT-2023-BLG-0084L b,2026,Microlensing,,13.3,13046.2
K2-401 b,2022,Transit,6.2931,2.26,654.7
TOI-3807 b,2023,Transit,2.899,18.49,1375.5
Kepler-931 b,2016,Transit,8.0376,1.33,1598.2
TOI-286 b,2024,Transit,4.5117,1.42,193.2
Kepler-106 e,2014,Transit,43.844,2.56,1449.2
GSC 06214-00210 b,2010,Imaging,,20.18,353.9
HD 89839 b,2023,Radial Velocity,3391.2,12.8,186.9
Kepler-520 b,2016,Transit,19.674,1.66,2034.9
Kepler-19 b,2011,Transit,9.287,2.21,712.9
Kepler-1102 b,2016,Transit,51.329,2.66,4064.1
Kepler-371 c,2014,Transit,67.968,1.78,2652.3
K2-338 b,2021,Transit,3.8506,1.03,511.9
KELT-16 b,2017,Transit,0.969,15.86,1450.0
Kepler-1681 b,2020,Transit,69.896,2.55,2473.2
TOI-544 c,2023,Radial Velocity,50.089,4.92,134.1
Kepler-251 d,2014,Transit,30.133,2.77,3015.7
HD 180902 b,2009,Radial Velocity,510.9,13.5,341.1
TOI-5624 e,2026,Transit,21.49,3.25,332.4
KOINTREAU-1 b,2026,Imaging,,12.4,517.3
K2-414 c,2022,Transit,6.669,1.93,848.1
Kepler-1154 c,2016,Transit,8.4581,2.36,4762.2
