book,chapter,character,mentions
pride-and-prejudice,49,Charlotte,0
pride-and-prejudice,49,Mrs Bennet,2
pride-and-prejudice,49,Mr Bennet,2
pride-and-prejudice,49,Lady Catherine,0
pride-and-prejudice,50,Elizabeth,3
pride-and-prejudice,50,Darcy,2
pride-and-prejudice,50,Jane,2
pride-and-prejudice,50,Mr Bingley,0
pride-and-prejudice,50,Miss Bingley,0
pride-and-prejudice,50,Wickham,8
pride-and-prejudice,50,Lydia,10
pride-and-prejudice,50,Mr Collins,0
pride-and-prejudice,50,Charlotte,0
pride-and-prejudice,50,Mrs Bennet,6
pride-and-prejudice,50,Mr Bennet,7
pride-and-prejudice,50,Lady Catherine,0
pride-and-prejudice,51,Elizabeth,16
pride-and-prejudice,51,Darcy,3
pride-and-prejudice,51,Jane,7
pride-and-prejudice,51,Mr Bingley,0
pride-and-prejudice,51,Miss Bingley,0
pride-and-prejudice,51,Wickham,12
pride-and-prejudice,51,Lydia,16
pride-and-prejudice,51,Mr Collins,0
pride-and-prejudice,51,Charlotte,0
pride-and-prejudice,51,Mrs Bennet,2
pride-and-prejudice,51,Mr Bennet,1
pride-and-prejudice,51,Lady Catherine,0
pride-and-prejudice,52,Elizabeth,9
pride-and-prejudice,52,Darcy,10
pride-and-prejudice,52,Jane,3
pride-and-prejudice,52,Mr Bingley,0
pride-and-prejudice,52,Miss Bingley,0
pride-and-prejudice,52,Wickham,16
pride-and-prejudice,52,Lydia,8
pride-and-prejudice,52,Mr Collins,0
pride-and-prejudice,52,Charlotte,0
pride-and-prejudice,52,Mrs Bennet,1
pride-and-prejudice,52,Mr Bennet,1
pride-and-prejudice,52,Lady Catherine,0
pride-and-prejudice,53,Elizabeth,16
pride-and-prejudice,53,Darcy,7
pride-and-prejudice,53,Jane,12
pride-and-prejudice,53,Mr Bingley,15
pride-and-prejudice,53,Miss Bingley,0
pride-and-prejudice,53,Wickham,3
pride-and-prejudice,53,Lydia,4
pride-and-prejudice,53,Mr Collins,0
pride-and-prejudice,53,Charlotte,0
pride-and-prejudice,53,Mrs Bennet,8
pride-and-prejudice,53,Mr Bennet,1
pride-and-prejudice,53,Lady Catherine,0
pride-and-prejudice,54,Elizabeth,14
pride-and-prejudice,54,Darcy,5
pride-and-prejudice,54,Jane,5
pride-and-prejudice,54,Mr Bingley,4
pride-and-prejudice,54,Miss Bingley,0
pride-and-prejudice,54,Wickham,0
pride-and-prejudice,54,Lydia,0
pride-and-prejudice,54,Mr Collins,0
pride-and-prejudice,54,Charlotte,0
pride-and-prejudice,54,Mrs Bennet,4
pride-and-prejudice,54,Mr Bennet,0
pride-and-prejudice,54,Lady Catherine,0
pride-and-prejudice,55,Elizabeth,23
pride-and-prejudice,55,Darcy,1
pride-and-prejudice,55,Jane,19
pride-and-prejudice,55,Mr Bingley,13
pride-and-prejudice,55,Miss Bingley,1
pride-and-prejudice,55,Wickham,1
pride-and-prejudice,55,Lydia,2
pride-and-prejudice,55,Mr Collins,1
pride-and-prejudice,55,Charlotte,0
pride-and-prejudice,55,Mrs Bennet,7
pride-and-prejudice,55,Mr Bennet,4
pride-and-prejudice,55,Lady Catherine,0
pride-and-prejudice,56,Elizabeth,21
pride-and-prejudice,56,Darcy,6
pride-and-prejudice,56,Jane,1
pride-and-prejudice,56,Mr Bingley,2
pride-and-prejudice,56,Miss Bingley,0
pride-and-prejudice,56,Wickham,0
pride-and-prejudice,56,Lydia,0
pride-and-prejudice,56,Mr Collins,1
pride-and-prejudice,56,Charlotte,1
pride-and-prejudice,56,Mrs Bennet,4
pride-and-prejudice,56,Mr Bennet,0
pride-and-prejudice,56,Lady Catherine,12
pride-and-prejudice,57,Elizabeth,17
pride-and-prejudice,57,Darcy,3
